Model,Binomial,Lognormal
~Year,52916,17741
~Year+Month,52081,17458.3
~Year+Month+BoatType,51847.9,17442.5
~Year+Month+BoatType+BagLimits,51847.9,17450.5
~Year+Month+BoatType+BagLimits+DepthRestrict,51847.9,17518.6
