Parameter,Number estimated,Bounds (lowhigh),Prior (MeanSD) Type,Estimate
Natural mortality ($M$),0,-,-,0.053
L($R_0$),1,"(2,12)",-,2.65
Steepness ($h$),0,-,-,0.773
\textbf{Growth},,,,
Length at age 0,0,-,-,2
Length at age 30,1,"(20,50)","(34,10) Normal",35.08
von Bertalanffy k,1,"(0.01,0.3)","(0.1,0.8) Normal",0.15
CV of length at age 0,0,-,-,0.1
CV of length at age 20,1,"(0.01,0.25)",-,0.08
\textbf{Indices},,,,
Extra SD - northern WA recreational private,1,"(0,2)",-,0.15
\textbf{Selectivity},,,,
Length at peak selectivity for northern WA recreational CPFV,,,-,35.8
Ascending width - northern WA recreational CPFV,1,"(0,9)",-,3.09622
Length at peak selectivity for southern WA recreational,,,-,35.8
Ascending width - southern WA recreational,1,"(0,9)",-,4.06608
